World Ranking;Germany Ranking;University Name;Course Type;City;Course Name;Course Germany Ranking;Teaching language;Tution Fee (Per semester);Beginning Semester;Duration;Go to course website;Submit application to
123;4;"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ";PhD / Doctorate;Göttingen;PhD Programme in Mathematical Sciences;;English;;Any time;6 semesters;"<a href=""http://www.math.uni-goettingen.de/promotion/index_en.html"" title=""PhD Programme in Mathematical Sciences"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-goettingen.de/en/call+for+applications/admission/473513.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
149;9;"<a href=""https://howtoabroad.com/humboldt-university-of-berlin/"" title=""Humboldt-Universität zu Berlin"" rel=""noopener"" target=""_blank"">Humboldt-Universität zu Berlin</a>   ";Master's degree;Berlin;Master's in Mind and Brain;;English;none;Winter;4 semesters;"<a href=""http://www.mind-and-brain.de/master/"" title=""Master's in Mind and Brain"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-assist.de/en/how-to-apply/apply-online/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
149;9;"<a href=""https://howtoabroad.com/humboldt-university-of-berlin/"" title=""Humboldt-Universität zu Berlin  "" target=""_blank"" rel=""noopener"">Humboldt-Universität zu Berlin  </a>";Bachelor's degree;Berlin;Berlin School of Mind and Brain (Graduate School);;;;;;"<a href=""http://www.mind-and-brain.de/overview/"" title=""Berlin School of Mind and Brain (Graduate School)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.mind-and-brain.de/doctoral-program/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technische Universität München  "" target=""_blank"" rel=""noopener"">Technische Universität München  </a>";PhD / Doctorate;Munich;PhD Programme in Medical Life Science and Technology;;English;;Winter semester, Summer semester;6 semesters;"<a href=""http://www.phd.med.tum.de/"" title=""PhD Programme in Medical Life Science and Technology"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.phd.med.tum.de/index.php?option=com_content&view=article&id=930&Itemid=257"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
198;15;"<a href=""https://howtoabroad.com/leipzig-university/"" title=""Leipzig University"" target=""_blank"" rel=""noopener"">Leipzig University</a>";Master's degree;Leipzig;Master of Arts in American Studies;;English;none;Winter;4 semesters;"<a href=""https://americanstudies.uni-leipzig.de/curriculum/degree_programs/ma"" title=""Master of Arts in American Studies"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://americanstudies.uni-leipzig.de/curriculum/applying_and_admissions/ma_application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
338;27;"<a href=""https://howtoabroad.com/technical-university-darmstadt/"" title=""TU Darmstadt"" target=""_blank"" rel=""noopener"">TU Darmstadt</a>";Master's degree;Darmstadt;AMIS Master - International Master in Advanced Materials for Innovation & Sustainability;;English;varied;Winter;4 semesters;"<a href=""https://amis-master.eitrawmaterials.eu/study/#overview"" title=""AMIS Master - International Master in Advanced Materials for Innovation & Sustainability"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://amis-master.eitrawmaterials.eu/study/#apply"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
673;49;"<a href=""https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/"" title=""Technische Universität Kaiserslautern"" rel=""noopener"" target=""_blank"">Technische Universität Kaiserslautern</a>";Master's degree;;Automation and Control (A&C);15 ( For Automation and Control);English;none;Winter, Summer;4 semesters;"<a href=""https://anc.eit.uni-kl.de/en/"" title=""Automation and Control (A&C)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.eit.uni-kl.de/en/studies/master-in-english/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
152;10;"<a href=""https://howtoabroad.com/rwth-aachen-university/"" title=""RWTH Aachen University"" rel=""noopener"" target=""_blank"">RWTH Aachen University</a> ";Master's degree;Aachen;Construction & Robotics;7  ( Robotics );English;none;Winter, Summer;4 semesters;"<a href=""https://arch.rwth-aachen.de/cms/Architektur/Studium/Studiengaenge/~ffuge/M-Sc-Construction-and-Robotics/lidx/1/"" title=""Construction & Robotics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
149;9;"<a href=""https://howtoabroad.com/humboldt-university-of-berlin/"" title=""Humboldt-Universität zu Berlin  "" target=""_blank"" rel=""noopener"">Humboldt-Universität zu Berlin  </a>";PhD / Doctorate;Berlin;Berlin School of Economics PhD Programme (BSE PhD Programme);5 (For Economics);English;;Winter semester;8 semesters;"<a href=""https://berlinschoolofeconomics.de/phd-programm"" title=""Berlin School of Economics PhD Programme (BSE PhD Programme)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://berlinschoolofeconomics.de/phd-programm/application"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
1921;85;"<a href=""https://howtoabroad.com/htw-berlin/"" title=""HTW Berlin"" target=""_blank"" rel=""noopener"">HTW Berlin</a>";Bachelor's degree;;Bachelor International Business (BIB);;English;none;Winter, Summer;7 semesters;"<a href=""https://bib.htw-berlin.de/"" title=""Bachelor International Business (BIB)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.htw-berlin.de/en/studies/applications/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
366;32;"<a href=""https://howtoabroad.com/martin-luther-university-halle-wittenberg/"" title=""Martin Luther University Halle-Wittenberg"" target=""_blank"" rel=""noopener"">Martin Luther University Halle-Wittenberg</a>";PhD / Doctorate;;Integrated Research Training Group (iRTG) Polymers: Random Coils and Beyond;16 (For Polymer Science);English;;Any time;7 semesters;"<a href=""https://blogs.urz.uni-halle.de/irtgpolymers/"" title=""Integrated Research Training Group (iRTG) Polymers: Random Coils and Beyond"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://blogs.urz.uni-halle.de/irtgpolymers/application-procedure-and-requirements/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;Integrated Graduate School: Mathematical Modelling, Simulation and Optimisation Using the Example of Gas Networks (SFB Transregio 154);;German;;Any time;8 semesters;"<a href=""https://cmc.deusto.eus/phd-for-mathematical-modelling-simulation-and-optimization-using-the-example-of-gas-networks-at-trr-154/"" title=""Integrated Graduate School: Mathematical Modelling, Simulation and Optimisation Using the Example of Gas Networks (SFB Transregio 154)"" target=""_blank"" rel=""noopener"">Go to course website</a>";Email to Secretary: aa@fau.de
247;22;"<a href=""https://howtoabroad.com/ruhr-universitat-bochum-2/"" title=""Ruhr-Universität Bochum"" target=""_blank"" rel=""noopener"">Ruhr-Universität Bochum</a>";Master's degree;Bochum;Master of Science Programme: Computational Engineering (CompEng);;English;none;Winter;4 semesters;"<a href=""https://compeng.rub.de/"" title=""Master of Science Programme: Computational Engineering (CompEng)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://compeng.rub.de/admission-a-application/application"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
1921;85;"<a href=""https://howtoabroad.com/htw-berlin/"" title=""HTW Berlin"" target=""_blank"" rel=""noopener"">HTW Berlin</a>";Master's degree;;Master's in Construction and Real Estate Management (ConREM);NA;English;none;Winter;4 semesters;"<a href=""https://conrem.htw-berlin.de/"" title=""Master's in Construction and Real Estate Management (ConREM)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.uni-assist.de/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
777;55;"<a href=""https://howtoabroad.com/university-of-paderborn/"" title=""Paderborn University"" target=""_blank"" rel=""noopener"">Paderborn University</a>";Master's degree;;Master of Science in Computer Science;39 ( computer science );English;none;Winter, Summer;4 semesters;"<a href=""https://cs.uni-paderborn.de/en/studies/degree-programs/computer-science"" title=""Master of Science in Computer Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-assist.de/online/?lang=en"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
198;15;"<a href=""https://howtoabroad.com/leipzig-university/"" title=""Leipzig University"" target=""_blank"" rel=""noopener"">Leipzig University</a>";Master's degree;Leipzig;International Energy Economics and Business Administration (MEEBA);30 (For Economics);English;3.125,00;Winter;4 semesters;"<a href=""https://driee.wifa.uni-leipzig.de/the-program/"" title=""International Energy Economics and Business Administration (MEEBA)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://driee.wifa.uni-leipzig.de/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
56;1;"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>";Master's degree;Munich;Evolution, Ecology and Systematics (Master of Science);3 (For Ecology), 1 (For Evolutionary Biology);English;none;Winter;4 semesters;"<a href=""https://ees.bio.lmu.de/"" title=""Evolution, Ecology and Systematics (Master of Science)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.ees.bio.lmu.de/application/index.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
433;37;"<a href=""https://howtoabroad.com/bielefeld-university/"" title=""Bielefeld University"" target=""_blank"" rel=""noopener"">Bielefeld University</a> ";Master's degree;;British and American Studies, Master of Arts;;English;none;Winter, Summer;4 semesters;"<a href=""https://ekvv.uni-bielefeld.de/sinfo/publ/master-as/anglistik"" title=""British and American Studies, Master of Arts"" target=""_blank"" rel=""noopener"">Go to course website</a>";
433;37;"<a href=""https://howtoabroad.com/bielefeld-university/"" title=""Bielefeld University"" target=""_blank"" rel=""noopener"">Bielefeld University</a> ";Master's degree;;Intelligent Systems;;English;none;Winter;4 semesters;"<a href=""https://ekvv.uni-bielefeld.de/sinfo/publ/master-as/intsys?lang=en"" title=""Intelligent Systems"" target=""_blank"" rel=""noopener"">Go to course website</a>";
4656;184;"<a href=""https://howtoabroad.com/technical-university-of-applied-sciences-wildau/"" title=""Technical University of Applied Sciences Wildau"" target=""_blank"" rel=""noopener"">Technical University of Applied Sciences Wildau</a>";Master's degree;;Technical Management (MEng);;English;none;Summer;3 semesters;"<a href=""https://en.th-wildau.de/index.php?id=22390"" title=""Technical Management (MEng)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://en.th-wildau.de/index.php?id=22390"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
4656;184;"<a href=""https://howtoabroad.com/technical-university-of-applied-sciences-wildau/"" title=""Technical University of Applied Sciences Wildau"" target=""_blank"" rel=""noopener"">Technical University of Applied Sciences Wildau</a>";Master's degree;;European Management (Master's Degree);;English;none;Winter;4 semesters;"<a href=""https://en.th-wildau.de/study/programmes/european-management-ma/"" title=""European Management (Master's Degree)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://en.th-wildau.de/study/application/degree-programmes/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
673;49;"<a href=""https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/"" title=""Technische Universität Kaiserslautern"" rel=""noopener"" target=""_blank"">Technische Universität Kaiserslautern</a>";Master's degree;;Embedded Computing Systems (ESY);;English;none;Winter, Summer;4 semesters;"<a href=""https://esy.eit.uni-kl.de/"" title=""Embedded Computing Systems (ESY)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.eit.uni-kl.de/en/studies/master-in-english/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
3475;141;"<a href=""https://howtoabroad.com/hochschule-wismar/"" title=""Hochschule Wismar"" target=""_blank"" rel=""noopener"">Hochschule Wismar - University of Applied Sciences, Technology, Business and Design</a>";Master's degree;;Master's Programme Architecture;NA;English;none;Winter, Summer;4 semesters;"<a href=""https://fg.hs-wismar.de/studium/studienangebot/architektur/master/"" title=""Master's Programme Architecture"" target=""_blank"" rel=""noopener"">Go to course website</a>";
216;19;"<a href=""https://howtoabroad.com/technical-university-dresden/"" title=""Technische Universität Dresden  "" target=""_blank"" rel=""noopener"">Technische Universität Dresden  </a>";PhD / Doctorate;Dresden;Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste;23 (For Management);English;;Winter semester, Summer semester;7 semesters;"<a href=""https://flores.unu.edu/en/education/phd-programme/phd-programme-in-integrated-management-of-water-soil-and-waste.html#overview"" title=""Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://flores.unu.edu/en/education/phd-programme/phd-programme-in-integrated-management-of-water-soil-and-waste.html#application_precedure"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;MSc Physical Geography: Environmental History;17 (For Geography), 10 (For Art History);English;none;Winter;4 semesters;"<a href=""https://geographie.uni-bremen.de/en/msc-physical-geography-environmental-history"" title=""MSc Physical Geography: Environmental History"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/en/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
198;15;"<a href=""https://howtoabroad.com/leipzig-university/"" title=""Leipzig University"" target=""_blank"" rel=""noopener"">Leipzig University</a>";Short course;Leipzig;Global Studies – Peace and Security in Africa;;English;1.800,00;Winter;4 semesters;"<a href=""https://gesi.sozphil.uni-leipzig.de/masters/ma-global-studies-peace-and-security-in-africa/"" title=""Global Studies – Peace and Security in Africa"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://gesi.sozphil.uni-leipzig.de/masters/ma-global-studies-peace-and-security-in-africa/application-and-admission/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
149;9;"<a href=""https://howtoabroad.com/humboldt-university-of-berlin/"" title=""Humboldt-Universität zu Berlin  "" target=""_blank"" rel=""noopener"">Humboldt-Universität zu Berlin  </a>";Master's degree;Berlin;Global Governance: Power, Structure and Agency;;;;;;"<a href=""https://huwisu.de/courses/details/394/"" title=""Global Governance: Power, Structure and Agency"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://huwisu.de/applications/start/?next=&course=394&other_course="" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
152;10;"<a href=""https://howtoabroad.com/rwth-aachen-university/"" title=""RWTH Aachen University"" rel=""noopener"" target=""_blank"">RWTH Aachen University</a> ";Master's degree;Aachen;IDEA League Joint Master's in Applied Geophysics;;English;1.000,00;Winter;4 semesters;"<a href=""https://idealeague.org/general-information/"" title=""IDEA League Joint Master's in Applied Geophysics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://idealeague.org/admission/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
149;9;"<a href=""https://howtoabroad.com/humboldt-university-of-berlin/"" title=""Humboldt-Universität zu Berlin"" rel=""noopener"" target=""_blank"">Humboldt-Universität zu Berlin</a>   ";Master's degree;Berlin;Master of Arts in Open Design;19 (For Art and Design);English;1.800,00;Summer;4 semesters;"<a href=""https://master-open-design.org/open-design--program.html"" title=""Master of Arts in Open Design"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://master-open-design.org/open-design--application.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
73;2;"<a href=""https://howtoabroad.com/heidelberg-university/"" title=""Universität Heidelberg"" rel=""noopener"" target=""_blank"">Universität Heidelberg</a>";Master's degree;Heidelberg;Master of Science in Scientific Computing;;English;varied;Winter, Summer;4 semesters;"<a href=""https://mastersc.iwr.uni-heidelberg.de/program-overview"" title=""Master of Science in Scientific Computing"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://mastersc.iwr.uni-heidelberg.de/application-admission/how-to-apply"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
360;31;"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ";Master's degree;;Mathematics and Computer Science (MSc);27 (For Mathematics), 19 ( computer science );English;none;Winter, Summer;4 semesters;"<a href=""https://mathcs.uni-saarland.de/master_en.html"" title=""Mathematics and Computer Science (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://oas.cs.uni-saarland.de/index.php?authorsInstructions=1"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
722;52;"<a href=""https://howtoabroad.com/trier-university/"" title=""Trier University"" target=""_blank"" rel=""noopener"">Trier University</a>";Master's degree;;Master of Arts in European and East Asian Governance;;English;none;Winter;4 semesters;"<a href=""https://meeag.uni-trier.de/"" title=""Master of Arts in European and East Asian Governance"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://porta-system.uni-trier.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;MSc Advanced Materials and Processes (MAP);;English;none;Winter;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/advanced-materials-and-processes-msc-hons/"" title=""MSc Advanced Materials and Processes (MAP)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.campo.fau.eu/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;Advanced Signal Processing and Communications Engineering MSc;;English;none;Winter;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/advanced-signal-processing-communications-engineering-msc/"" title=""Advanced Signal Processing and Communications Engineering MSc"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.asc.studium.fau.de/prospective-students/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;MSc Chemical and Biological Engineering (CBI);1 (For Chemical Engineering);German,English;none;Winter, Summer;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/chemie-und-bioingenieurwesen-msc/"" title=""MSc Chemical and Biological Engineering (CBI)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.campo.fau.de/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;Communications and Multimedia Engineering (CME);14 (For Multimedia);English;none;Winter;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/communications-und-multimedia-engineering-msc/"" title=""Communications and Multimedia Engineering (CME)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://meinstudium.fau.de/studienangebot/communications-und-multimedia-engineering-msc/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Erlangen;Computational Engineering (CE), MSc;;English;none;Winter;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/computational-engineering-msc/"" title=""Computational Engineering (CE), MSc"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.campo.fau.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
202;16;"<a href=""https://howtoabroad.com/friedrich-alexander-university/"" title=""FAU Erlangen-Nurnberg"" target=""_blank"" rel=""noopener"">FAU Erlangen-Nurnberg</a>";Master's degree;Nuremberg;Master of Science in Economics;28 (For Economics);German,English;none;Winter;4 semesters;"<a href=""https://meinstudium.fau.de/studienangebot/economics-msc/"" title=""Master of Science in Economics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.campo.fau.de/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
