_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment
659,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Mathematics,,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://wiso.uni-koeln.de/en/studies/master/master-economic-research" title="Economic Research" target="_blank" rel="noopener">Go to course website</a>,<a href="https://wiso.uni-koeln.de/en/studies/application/master" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5204/,,,Phase 3,
870,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Physics& Master of Science,,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://wiso.uni-koeln.de/en/studies/master/master-economics" title="Economics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://wiso.uni-koeln.de/en/studies/application/master" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5203/,,,Phase 3,
561,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science Biochemistry,,English,,,,,none,Winter,,4 semesters,<a href="https://wiso.uni-koeln.de/en/studies/master/master-international-management-cems-mim" title="International Management (CEMS MIM) - Master of Science" target="_blank" rel="noopener">Go to course website</a>,<a href="https://wiso.uni-koeln.de/en/studies/application/master" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4340/,,,Phase 4,
564,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science Evolution& Ecology and Systematics,,English,,,,,none,Winter,,4 semesters,<a href="https://wiso.uni-koeln.de/en/studies/master/master-political-science" title="Political Science" target="_blank" rel="noopener">Go to course website</a>,<a href="https://wiso.uni-koeln.de/en/studies/application/master" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5550/,,,Phase 4,
608,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Economics,,English,,,,,none,Winter,,4 semesters,<a href="https://wiso.uni-koeln.de/en/studies/master/master-sociology-and-social-research" title="Sociology and Social Research" target="_blank" rel="noopener">Go to course website</a>,<a href="https://wiso.uni-koeln.de/en/studies/documents-and-media/master-er-2021" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4251/,,,Phase 4,
653,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Medical Photonics,,English,,,,,none,Winter,,4 semesters,<a href="https://www-uni--greifswald-de.translate.goog/studium/vor-dem-studium/studienangebot/studienfaecher/e/earth-sciences-master-of-science/?_x_tr_sl=de&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=nui","sc" title="Earth Sciences - Georesources and the Environment" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4708/,,,Phase 4,
657,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Microbiology,,English,,,,,none,Winter,,4 semesters,<a href="https://www.academy.rwth-aachen.de/en/programs/masters-degree-programs/detail/msc-robotic-systems-engineering" title="Robotic Systems Engineering" target="_blank" rel="noopener">Go to course website</a>,<a href="https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3977/,,,Phase 4,
660,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Molecular Life Sciences,,English,,,,,none,Winter,,4 semesters,<a href="https://www.academy.rwth-aachen.de/en/programs/masters-degree-programs/detail/msc-textile-engineering" title="Textile Engineering" target="_blank" rel="noopener">Go to course website</a>,<a href="https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login/ee/ui/ca2/app/desktop%23?$ctx=lang=en" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4252/,,,Phase 4,
661,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Molecular Medicine,,English,,,,,none,Winter,,4 semesters,<a href="https://www.ageing-grad-school.de/about-us/interdisciplinary-approach-one-graduate-programme" title="Cologne Graduate School of Ageing Research" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.ageing-grad-school.de/phd/applications" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4000/,,,Phase 4,
667,297,24,Friedrich Schiller University Jena,<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>,Master's degree,Master of Science in Photonics,,English,,,,,none,Winter,,4 semesters,<a href="https://www.agrar.uni-kiel.de/en/studies/study-programmes/dairy-science" title="Master of Science in Dairy Science" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.agrar.uni-kiel.de/de/studium/studieninteressierte-schueler/studiengaenge/seiten-dairy-science/application-procedure-and-admission" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3880/,,,Phase 4,
76,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,Business Consulting Master (BCM),,English,,,,,"1.543,00",Summer,,3 semesters,<a href="https://www.agrigenomics.de/en/copy_of_index.html" title="Master of Science in AgriGenomics" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.agrigenomics.de/en/application" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3737/,,,,
336,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,International Business Management (MBA),,English,,,,,"3.200,00",Winter,,3 semesters,<a href="https://www.ai.uni-bayreuth.de/de/studium/master-computer-science/index.html" title="Computer Science" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.international-office.uni-bayreuth.de/en/degree-programmes/master-Nicht-EU/computer-science-msc/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3674/,,,,
403,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,International Relations and Cultural Diplomacy,,English,,,,,"3.000,00",Winter& Summer,,4 semesters,<a href="https://www.aices.rwth-aachen.de/en/academics/masters-program-simulation-sciences" title="Simulation Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.aices.rwth-aachen.de/en/admission/fast-track-program" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5447/,,,,
526,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,Master of Biomedical Engineering (BME),,English,,,,,"1.500,00",Winter,,3 semesters,<a href="https://www.asia-europe.uni-heidelberg.de/en/studies/graduate-programme-for-transcultural-studies.html" title="Graduate Programme for Transcultural Studies (GPTS)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.asia-europe.uni-heidelberg.de/en/studies/graduate-programme-for-transcultural-studies/application.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3840/,,,,
676,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,Master of Science in Precision Medicine Diagnostics (PMD),,English,,,,,varied,Winter,,3 semesters,<a href="https://www.asia-europe.uni-heidelberg.de/en/studies/ma-transcultural-studies.html" title="Master of Arts in Transcultural Studies" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.asia-europe.uni-heidelberg.de/en/studies/ma-transcultural-studies/application.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4617/,,,,
773,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,MBA Medical Devices & Healthcare Management,,English,,,,,"4.500,00",Winter,,4 semesters,<a href="https://www.asp.uni-jena.de/doctoral_program" title="Abbe School of Photonics � PhD/Doctoral Programme" target="_blank" rel="noopener">Go to course website</a>,<a href="https://apply.asp.uni-jena.de/;jsessionid=42D64CDC8880A634D834F5BC75F0E5A3?x=UI11*ONxUyIcBkYLuMYPYNeHj-kCEzc0OI5aqSNINK6Mz3q5Siem3s2SxcXPgSMY" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6157/,,,,
989,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Bachelor's degree,Bachelor of Arts in International Business Management (IBM),,English,,,,,"1.500,00",Winter,,7 semesters,<a href="https://www.avva.uni-bayreuth.de/en/index.html" title="Master of Arts in African Verbal and Visual Arts: Languages", Literatures,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3675/,,,,
1073,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Bachelor's degree,International Business Information Systems (BSc),,English,,,,,varied,Summer,,7 semesters,<a href="https://www.b-tu.de/en/biotechnology-ms" title="Biotechnology" target="_blank" rel="noopener">Go to course website</a>,<a href="https://my.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6487/,,,,
1220,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,Master of Science in Smart Systems,,German&English,,,,,"1.500,00",Winter,,3 semesters,<a href="https://www.b-tu.de/en/environment-ms" title="Environmental and Resource Management (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4301/,,,,
1304,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Master's degree,Master of Science in International Management (IMM),,English,,,,,,Winter,,3 semesters,<a href="https://www.b-tu.de/en/heritageconservation-ma" title="Heritage Conservation and Site Management" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4297/,,,,
1332,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Bachelor's degree,Bachelor of Arts in Business Management and Psychology (BMP),,German&English,,,,,"1.500,00",Summer,,7 semesters,<a href="https://www.b-tu.de/en/hydroinformatics-ms" title="Euro Hydroinformatics and Water Management" target="_blank" rel="noopener">Go to course website</a>,<a href="https://master.euroaquae.eu/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4828/,,,,
1334,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Bachelor's degree,Bachelor of Arts in International Business (Internationale Betriebswirtschaft& IBW),,German&English,,,,,"1.500,00",Winter& Summer,,7 semesters,<a href="https://www.b-tu.de/en/physics-ms" title="Physics" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5274/,,,,
1440,2440,94,Furtwangen University,<a href="https://howtoabroad.com/furtwangen-university/" title="Furtwangen University" target="_blank" >Furtwangen University</a>,Bachelor's degree,Bachelor of Science in International Engineering (IEB),,German,,,,,,Winter,,7 semesters,<a href="https://www.bccn-berlin.de/phd-program-computational-neuroscience.html" title="International Doctoral Programme Computational Neuroscience" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.bccn-berlin.de/doctoral-program-application.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4203/,,,,
698,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Master of Science with Tracks in Accounting& Quantitative Economics& Quantitative Finance and Quantitative Marketing (MSQ),,English,,,,,none,Winter,,4 semesters,<a href="https://www.bgse.uni-bonn.de/en/graduate-programs/m.sc.-in-economic-research-doctoral-program-ph.d./m.sc.-in-economic-research-doctoral-program-ph.d." title="Bonn Graduate School of Economics (BGSE)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.bgse.uni-bonn.de/en/apply-to-our-programs/m.sc.-economic-research-doctoral-program-ph.d." title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5327/,,,Phase 4,
898,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Science and Technology Studies – Economies& Governance& Life,,English,,,,,none,Winter,,4 semesters,<a href="https://www.bgse.uni-bonn.de/en/graduate-programs/m.sc.-in-economics" title="Master of Science in Economics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://masterapplication.uni-bonn.de/movein/hosted/online/move/movein/portal/studyportal.php?_language=en" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5362/,,,Phase 4,
393,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,International Master's Programme – LLM Legal Theory (with the European Academy of Legal Theory),,English,,,,,"3.600,00",Winter,,2 semesters,<a href="https://www.bgsmcs.fu-berlin.de/" title="Berlin Graduate School Muslim Cultures and Societies" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.bgsmcs.fu-berlin.de/application/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6384/,,,,
548,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Master of Laws in Finance (LLM Finance),,English,,,,,"10.000,00",Winter,,2 semesters,<a href="https://www.bif-igs.kit.edu/" title="BioInterfaces International Graduate School" target="_blank" rel="noopener">Go to course website</a>,<a href="https://intra.bif-igs.kit.edu/gradschool_ssl/intern/reg_registration_for.php?a=0300000000000000000000000000000000000000100005101100000&main=1" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3845/,,,,
729,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Master's in Modern East Asian Studies (MEAS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.bio.uni-heidelberg.de/en/mastermolecularbiosciences" title="Molecular Biosciences MSc" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.bio.uni-heidelberg.de/en/mscmolbio_application" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4333/,,,,
821,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,MSc Interdisciplinary Neuroscience (INS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.bio.uni-kl.de/studium-lehre/studiengaenge/master-biology/mpbiotec/" title="Master Biology - Specialisation Microbial & Plant Biotechnology (MPBiotec)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-kl.de/international/master/prospective-students/master-programs/master-programs-in-english/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4180/,,,,
864,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Physical Biology of Cells and Cell Interactions (PBioC),,English,,,,,none,Winter,,4 semesters,<a href="https://www.bio.uni-kl.de/studium-lehre/studiengaenge/master-biology/neurobiology/" title="Master Biology - Specialisation Neurobiology (Neuro)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-kl.de/international/master/prospective-students/master-programs/master-programs-in-english/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4585/,,,Phase 5,
1225,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,Master’s Programme in Ethnology. Franco-German Perspectives,,German&French,,,,,none,Winter,,4 semesters,<a href="https://www.biofabrication.uni-bayreuth.de/en/index.html" title="International Master's Programme Biofabrication" target="_blank" rel="noopener">Go to course website</a>,<a href="https://campusonline.uni-bayreuth.de/ubto/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6899/,,,,
1434,486,41,Goethe University Frankfurt,<a href="https://howtoabroad.com/goethe-university-of-frankfurt/" title="Goethe University Frankfurt" target="_blank" >Goethe University Frankfurt</a>,Master's degree,,,German&English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/en/masterbiosciences/msc-programmes/biophysics/" title="Biophysics"," Master of Science" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6309/,,,,
82,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Chemical and Bioprocess Engineering,,English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/en/masterbiosciences/msc-programmes/protein-chemistry/" title="Protein Chemistry" target="_blank" rel="noopener">Go to course website</a>,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4108/,,,Phase 2,
205,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Environmental Engineering,,English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/en/masterbiosciences/msc-programmes/systems-biology-and-metabolomics/" title="Systems Biology and Metabolomics" target="_blank" rel="noopener">Go to course website</a>,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3809/,,,Phase 2,
302,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Information and Communication Systems,,English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/masterbiosciences/msc-programmes/behavioural-neurobiology/" title="Behavioural Neurobiology / Neuroethology; Master of Science Biology" target="_blank" rel="noopener">Go to course website</a>,Email to : bioeu@uni-wuerzburg.de,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/,,,,
795,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Microelectronics and Microsystems,,English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/masterbiosciences/msc-programmes/cell-and-infection-biology/" title="Cell and Infection Biology"," Master of Science" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3751/,,,,
1232,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Mechanical Engineering and Management,,German&English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/masterbiosciences/msc-programmes/ecology/" title="Ecology"," Master of Science" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3749/,,,,
1233,1159,63,Hamburg University of Technology,<a href="https://howtoabroad.com/hamburg-university-of-technology/" title="Hamburg University of Technology" target="_blank" >Hamburg University of Technology</a>,Master's degree,Mechatronics,,German&English,,,,,none,Winter,,4 semesters,<a href="https://www.biologie.uni-wuerzburg.de/masterbiosciences/msc-programmes/molecular-and-computational-biology/" title="Molecular and Computational Biology"," Master of Science" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3750/,,,,
138,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Development& Environment& Societies& and History of South Asia,,English,,,,,varied,Winter& Summer,,4 semesters,<a href="https://www.biozentrum.uni-wuerzburg.de/msc-biochemistry/program/" title="Master's in Biochemistry (Molecular Life Sciences or Molecular Oncology)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.biozentrum.uni-wuerzburg.de/msc-biochemistry/startseite/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5215/,,,,
495,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Arts Computational Linguistics,,English,,,,,varied,Winter& Summer,,4 semesters,<a href="https://www.business-school.rwth-aachen.de/en/programs/full-time-mba/" title="Full-Time MBA in Digitalisation & Industrial Change" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.business-school.rwth-aachen.de/en/application/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7021/,,,,
498,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Arts in American Studies (MAS),,English,,,,,varied,Winter,,4 semesters,<a href="https://www.business-school.rwth-aachen.de/en/programs/m-sc-management-engineering-in-technology-innovation-marketing-entrepreneurship-part-time/" title="MSc Management and Engineering in Technology", Innovation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3818/,,,,
520,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Arts in Transcultural Studies,,English,,,,,varied,Winter,,4 semesters,<a href="https://www.business-school.uni-koeln.de/en/cologne-rotterdam-emba/" title="Business Administration" target="_blank" rel="noopener">Go to course website</a>,<a href="https://rsm-uoc.embark.com/login/register" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4273/,,,,
522,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Arts: Health and Society in South Asia,,English,,,,,varied,Winter,,4 semesters,<a href="https://www.cb.hs-mittweida.de/en/study-programs-of-the-faculty/applied-mathematics-for-network-and-data-sciences/" title="Applied Mathematics for Network and Data Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.cb.hs-mittweida.de/en/study-programs-of-the-faculty/applied-mathematics-for-network-and-data-sciences/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4113/,,,,
573,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Science in Biomedical Engineering,,English,,,,,varied,Winter,,4 semesters,<a href="https://www.ceplas.eu/en/home/" title="CEPLAS - Cluster of Excellence on Plant Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.ceplas.eu/en/training-careers/join-our-team/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6892/,,,,
633,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Science in International Health (MScIH),,English,,,,,"7.050,00",Winter,,2 semesters,<a href="https://www.ceplas.eu/en/training-careers/ceplas-graduate-school/" title="CEPLAS - Cluster of Excellence on Plant Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.ceplas.eu/en/training-careers/ceplas-graduate-school/curriculum/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6952/,,,,
681,73,2,University Heidelberg,<a href="https://howtoabroad.com/heidelberg-university/" title="Universität Heidelberg" target="_blank" >Universität Heidelberg</a>,Master's degree,Master of Science in Scientific Computing,,English,,,,,varied,Winter& Summer,,4 semesters,<a href="https://www.cih.lmu.de/education/study-programs/phd-program" title="PhD Programme Medical Research - International Health" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.portal.graduatecenter.uni-muenchen.de/ocgc/mmrs" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4443/,,,,
