_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,City,Course Name,Course Germany Ranking,Teaching language,_language Req.,_Admission without IELTS/TOEFL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine for winter,Application DeadLine for Summer,Duration,_Go to course website,Go to course website,_Submit application to,Submit application to,Post writing ,_Daad SIte,Updated By,Checked By,Comment,@
132,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,"Data Science (MSc, Elite Master's Programme)",5 (For Data Science),English,NA,Yes,NA,NA,None,Winter,01-Jun,,4 semesters,https://www.m-datascience.mathematik-informatik-statistik.uni-muenchen.de/index.html,"<a href=""https://www.m-datascience.mathematik-informatik-statistik.uni-muenchen.de/index.html"" title=""Data Science (MSc, Elite Master's Programme)"" target=""_blank"">Go to course website</a>",https://efv-datascience.ifi.lmu.de/,"<a href=""https://efv-datascience.ifi.lmu.de/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4683/,,,,
182,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Elite Master's Programme: Human Biology – Principles of Health and Disease,1 (For Biology),English,,,,NA ,None,Winter,31-Mar,,4 semesters,https://www.mhb.uni-muenchen.de/index.html,"<a href=""https://www.mhb.uni-muenchen.de/index.html"" title=""Elite Master's Programme: Human Biology – Principles of Health and Disease"" target=""_blank"">Go to course website</a>",http://www.mhb.lmu.de,"<a href=""http://www.mhb.lmu.de"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 7,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5344/,,,,
190,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Elite Master's Programme: Human Biology – Principles of Health and Disease,1 (For Biology),English,,,,,None,Winter,31-Mar,,3 semesters,https://www.mhb.uni-muenchen.de/index.html,"<a href=""https://www.mhb.uni-muenchen.de/index.html"" title=""Elite Master's Programme: Human Biology – Principles of Health and Disease"" target=""_blank"">Go to course website</a>",https://www.mhb.uni-muenchen.de/admission/index.html,"<a href=""https://www.mhb.uni-muenchen.de/admission/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 10,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4545/,,,,
226,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,"Evolution, Ecology and Systematics (Master of Science)","3 (For Ecology), 1 (For Evolutionary Biology)",English,IELTS-7/TOEFL-(iBT-90 points)/Others,YES,NA,NA,None,Winter,31-Mar,,4 semesters,https://ees.bio.lmu.de/,"<a href=""https://ees.bio.lmu.de/"" title=""Evolution, Ecology and Systematics (Master of Science)"" target=""_blank"">Go to course website</a>",https://www.ees.bio.lmu.de/application/index.html,"<a href=""https://www.ees.bio.lmu.de/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4033/,,,,
383,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,International Master's Programme in Geophysics,5 (For Earth science and Geophysics),English,,,,NA,None,Winter,28-Feb,,4 semesters,https://www.geophysik.uni-muenchen.de/teaching/degreeProgrammes/masterstudiengang-geophysics,"<a href=""https://www.geophysik.uni-muenchen.de/teaching/degreeProgrammes/masterstudiengang-geophysics"" title=""International Master's Programme in Geophysics"" target=""_blank"">Go to course website</a>",https://www.geophysik.uni-muenchen.de/teaching/degreeProgrammes/masterstudiengang-geophysics/masterstudiengang-geophysics/msc-v2-application,"<a href=""https://www.geophysik.uni-muenchen.de/teaching/degreeProgrammes/masterstudiengang-geophysics/masterstudiengang-geophysics/msc-v2-application"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 8,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4104/,,,,
469,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master in Biochemistry,1 (For Biochemistry),English,,,,,None,"Summer, Winter",15-Jul,15-Jan,4 semesters,https://www.genzentrum.uni-muenchen.de/study-program/master/index.html,"<a href=""https://www.genzentrum.uni-muenchen.de/study-program/master/index.html"" title=""Master in Biochemistry"" target=""_blank"">Go to course website</a>",https://www.genzentrum.uni-muenchen.de/study-program/master/application/index.html,"<a href=""https://www.genzentrum.uni-muenchen.de/study-program/master/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 6,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6171/,,,,
606,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Economics,1 (For Economics),English,IELTS 6.5/ TOEFL(IBT 80/PBT/CBT)/OTHERS,YES,NA,NA,None,Winter,30-Apr,,4 semesters,https://www.en.master.econ.uni-muenchen.de/profile/fast_facts/index.html,"<a href=""https://www.en.master.econ.uni-muenchen.de/profile/fast_facts/index.html"" title=""Master of Science in Economics"" target=""_blank"">Go to course website</a>",https://www.en.master.econ.uni-muenchen.de/application/index.html,"<a href=""https://www.en.master.econ.uni-muenchen.de/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4208/,,,,
619,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Epidemiology,1 (For Epidemiology),English,NA,YES,NA,NA,None,Winter,15-May,,4 semesters,https://www.en.ibe.med.uni-muenchen.de/academics/epidemiology/index.html,"<a href=""https://www.en.ibe.med.uni-muenchen.de/academics/epidemiology/index.html"" title=""Master of Science in Epidemiology"" target=""_blank"">Go to course website</a>",https://www.en.ibe.med.uni-muenchen.de/academics/epidemiology/application/index.html,"<a href=""https://www.en.ibe.med.uni-muenchen.de/academics/epidemiology/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4415/,,,,
620,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Geobiology and Palaeobiology,5 (For Paleontology),English,IELTS 7.0/ TOEFL(IBT 90/PBT/CBT)/OTHERS,YES,NA,NA,None,Winter,31-May,,4 semesters,https://www.mgap.geo.uni-muenchen.de/index.html,"<a href=""https://www.mgap.geo.uni-muenchen.de/index.html"" title=""Master of Science in Geobiology and Palaeobiology"" target=""_blank"">Go to course website</a>",http://www.mgap.geo.uni-muenchen.de/admission/index.html,"<a href=""http://www.mgap.geo.uni-muenchen.de/admission/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4487/,,,,
640,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Management - European Triple Degree (ETD),,English,IELTS-6.5,NO,,NA,EUR 10000,Winter,07-Mar,,4 semesters,https://www.en.som.lmu.de/study/studiengaenge/emm/index.html,"<a href=""https://www.en.som.lmu.de/study/studiengaenge/emm/index.html"" title=""Master of Science in Management - European Triple Degree (ETD)"" target=""_blank"">Go to course website</a>",https://european-triple-masters-degree.com/en,"<a href=""https://european-triple-masters-degree.com/en"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 7,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4387/,,,,
652,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Management and Digital Technologies,3 (For Management),English,IELTS7.0/ TOEFL(IBT 95/PBT/CBT)/OTHERS,YES,NA,NA,None,Winter,15-May,,4 semesters,https://www.mmt.bwl.uni-muenchen.de/index.html,"<a href=""https://www.mmt.bwl.uni-muenchen.de/index.html"" title=""Master of Science in Management and Digital Technologies"" target=""_blank"">Go to course website</a>",https://www.mmt.bwl.uni-muenchen.de/application/admissions/index.html,"<a href=""https://www.mmt.bwl.uni-muenchen.de/application/admissions/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4800/,,,,
745,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master's Programme in Neurosciences,3 (For Neuroscience),English,,,,NA,None,Winter,15-Feb,,4 semesters,https://www.gsn.uni-muenchen.de/studies/msc_program/msc_neurosciences/index.html,"<a href=""https://www.gsn.uni-muenchen.de/studies/msc_program/msc_neurosciences/index.html"" title=""Master's Programme in Neurosciences"" target=""_blank"">Go to course website</a>",https://www.gsn.uni-muenchen.de/apply/index.html,"<a href=""https://www.gsn.uni-muenchen.de/apply/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 8,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4032/,,,,
799,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Molecular and Cellular Biology (Master of Science),1 (For Molecular Biology),English,IELTS-7/TOEFL-(iBT- 95 points)Others,YES,NA,NA,None,Winter,31-Mar,,4 semesters,https://www.mcb.bio.lmu.de/,"<a href=""https://www.mcb.bio.lmu.de/"" title=""Molecular and Cellular Biology (Master of Science)"" target=""_blank"">Go to course website</a>",https://www.mcb.bio.lmu.de/admission1/index.html,"<a href=""https://www.mcb.bio.lmu.de/admission1/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4235/,,,,
832,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,MSc Psychology: Learning Sciences,"1 (For Biology), 1 (For Psychology)",English,IELTS-6.5/TOEFl-(iBT-79 points/PBT-548 points/CBT-211 points)/Others,YES,NA,NA,None,Winter,15-May,,4 semesters,http://www.en.mcls.uni-muenchen.de/study_programs/master/,"<a href=""http://www.en.mcls.uni-muenchen.de/study_programs/master/"" title=""MSc Psychology: Learning Sciences"" target=""_blank"">Go to course website</a>",http://www.portal.graduatecenter.uni-muenchen.de/ocgc/mscls,"<a href=""http://www.portal.graduatecenter.uni-muenchen.de/ocgc/mscls"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4205/,,,,
846,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Neuro-cognitive Psychology (NCP),"3 (For Neuroscience), 99 (For Cognitive science)",English,,,,,None,Winter,15-Feb,,4 semesters,https://www.psy.lmu.de/ncp/index.html,"<a href=""https://www.psy.lmu.de/ncp/index.html"" title=""Neuro-cognitive Psychology (NCP)"" target=""_blank"">Go to course website</a>",https://www.psy.lmu.de/ncp/appl_information/appl_process/index.html,"<a href=""https://www.psy.lmu.de/ncp/appl_information/appl_process/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 9,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3806/,,,,
871,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Plant Sciences (Master of Science),8 (For Botany),English,IELTS-7/TOEFL-(iBT-95 points)/Others,YES,NA,NA,None,Winter,31-Mar,,4 semesters,https://www.pls.bio.lmu.de/,"<a href=""https://www.pls.bio.lmu.de/"" title=""Plant Sciences (Master of Science)"" target=""_blank"">Go to course website</a>",http://www.pls.bio.lmu.de/admission/application/index.html,"<a href=""http://www.pls.bio.lmu.de/admission/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5328/,,,,
1140,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,"Elite Graduate Programme in East European Studies (Ludwig Maximilian University of Munich, Universität Regensburg)",,"German,English",,,,,None,Winter,15-Jun,,4 semesters,https://www.en.osteuropastudien.uni-muenchen.de/index.html,"<a href=""https://www.en.osteuropastudien.uni-muenchen.de/index.html"" title=""Elite Graduate Programme in East European Studies (Ludwig Maximilian University of Munich, Universität Regensburg)"" target=""_blank"">Go to course website</a>",https://www.en.osteuropastudien.uni-muenchen.de/application/index.html,"<a href=""https://www.en.osteuropastudien.uni-muenchen.de/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 14,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4207/,,,,
1305,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master of Science in Management – International Triple Degree,3 (For Management),English,,,,,Varied,Winter,15-May,,4 semesters,https://www.en.som.lmu.de/study/studiengaenge/itd/index.html,"<a href=""https://www.en.som.lmu.de/study/studiengaenge/itd/index.html"" title=""Master of Science in Management – International Triple Degree"" target=""_blank"">Go to course website</a>",http://business.loyno.edu/mba/global-mba-program,"<a href=""http://business.loyno.edu/mba/global-mba-program"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 13,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6945/,,,,
1417,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Master in Quantitative Economics,1 (For Economics),English,,,,NA,None,Winter,15-Mar,,4 semesters,https://www.en.mqe.econ.uni-muenchen.de/index.html,"<a href=""https://www.en.mqe.econ.uni-muenchen.de/index.html"" title=""Master in Quantitative Economics"" target=""_blank"">Go to course website</a>",https://www.en.mqe.econ.uni-muenchen.de/application/index.html,"<a href=""https://www.en.mqe.econ.uni-muenchen.de/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 7,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4791/,,,,
1444,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Doctoral degree,Munich,Doctoral Programme Classical and Ancient Studies (PAW),1 (For Classics and Ancient History),"English,German",,,,,None,Any time,Any time,Any time,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/paw.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/paw.html"" title=""Doctoral Programme Classical and Ancient Studies (PAW)"" target=""_blank"">Go to course website</a>",https://www.mzaw.uni-muenchen.de/paw/index.html,"<a href=""https://www.mzaw.uni-muenchen.de/paw/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 7,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4206/,,,,
1448,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Advanced Medical Physics for Image-Guided Cancer Therapy (GRK 2274),"2 (For Medical Physics), 1 (For Oncology and Cancer research)",English,,,,,None,Any time,NA,NA,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/grk2274.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/grk2274.html"" title=""Advanced Medical Physics for Image-Guided Cancer Therapy (GRK 2274)"" target=""_blank"">Go to course website</a>",https://www.grk2274.de/grk2274,"<a href=""https://www.grk2274.de/grk2274"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5340/,,,,
1451,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,CRC 235 - PhD in Emergence of Life,1 (For Biology),English,,,,,None,Any time,NA,NA,8 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/sfb_trr_235.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/sfb_trr_235.html"" title=""CRC 235 - PhD in Emergence of Life"" target=""_blank"">Go to course website</a>",https://www.emergence-of-life.de/about-us/index.html,"<a href=""https://www.emergence-of-life.de/about-us/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5622/,,,,
1452,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Doctoral Programme - Statistics: Theory and Methods for Empirical Modelling,NA,English,,,,,None,Winter,Dec ,,4 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/pr2.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/pr2.html"" title=""Doctoral Programme - Statistics: Theory and Methods for Empirical Modelling"" target=""_blank"">Go to course website</a>",https://www.statistik.uni-muenchen.de/promotionsprogramm/bewerbung/index.html,"<a href=""https://www.statistik.uni-muenchen.de/promotionsprogramm/bewerbung/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 13,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4504/,,,,
1457,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Graduate School Life Science Munich: From Molecules to Systems (LSM),1 (For Molecular Biology),English,,,,,None,Any time,30-Nov,,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/lsm.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/lsm.html"" title=""Graduate School Life Science Munich: From Molecules to Systems (LSM)"" target=""_blank"">Go to course website</a>",https://www.lsm.bio.lmu.de/apply/index.html,"<a href=""https://www.lsm.bio.lmu.de/apply/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5271/,,,,
1459,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,i-Target: Immunotargeting of Cancer (Internationales Doktorandenkolleg - Elitenetzwerk Bayern),"1 (For Immunology), 1 (For Oncology and Cancer research)",English,,,,,None,Any time,NA,NA,8 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/i-target.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/i-target.html"" title=""i-Target: Immunotargeting of Cancer (Internationales Doktorandenkolleg - Elitenetzwerk Bayern)"" target=""_blank"">Go to course website</a>",itarget@med.uni-muenchen.de,Email to : itarget@med.uni-muenchen.de,Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4485/,,,,
1461,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Integrated Analysis of Macromolecular Complexes and Hybrid Methods in Genome Biology (DFG GRK1721),1 (For Molecular Biology),English,,,,,,Any time,NA,NA,8 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/genome.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/genome.html"" title=""Integrated Analysis of Macromolecular Complexes and Hybrid Methods in Genome Biology (DFG GRK1721)"" target=""_blank"">Go to course website</a>",,,Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4366/,,,,
1464,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,International Research Training Group on Chemical Biology of Epigenetic Modifications, 1 (For Genetics),English,,,,,None,Any time,15-Jul,,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/sfb1309.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/sfb1309.html"" title=""International Research Training Group on Chemical Biology of Epigenetic Modifications"" target=""_blank"">Go to course website</a>",https://www.sfb1309.de/,"<a href=""https://www.sfb1309.de/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6145/,,,,
1467,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Nanoagents for Spatiotemporal Control of Molecular and Cellular Reactions (DFG-SFB 1032 Integriertes GRK),1 (For Molecular Biology),English,,,,,None,Any time,NA,NA,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/nanoagents.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/nanoagents.html"" title=""Nanoagents for Spatiotemporal Control of Molecular and Cellular Reactions (DFG-SFB 1032 Integriertes GRK)"" target=""_blank"">Go to course website</a>",https://www.portal.graduatecenter.uni-muenchen.de/ocgc/cens,"<a href=""https://www.portal.graduatecenter.uni-muenchen.de/ocgc/cens"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4449/,,,,
1470,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,RTG GRK2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology,2 (For Toxicology),English,,,,,None,Any time,NA,NA,6 semesters,https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/grk2338.html,"<a href=""https://www.graduatecenter.uni-muenchen.de/promotionsprogramme/grk2338.html"" title=""RTG GRK2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology"" target=""_blank"">Go to course website</a>",https://www.grk2338.med.uni-muenchen.de/open-positions/index.html,"<a href=""https://www.grk2338.med.uni-muenchen.de/open-positions/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 10,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5456/,,,,
1496,56,1,Ludwig Maximilian University of Munich ,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",Master's degree,Munich,Intensive German Language Course,,German,,,,,Varied,varied,varied,,6 Semesters,https://www.dkfa.de/en/,"<a href=""https://www.dkfa.de/en/"" title=""Intensive German Language Course"" target=""_blank"">Go to course website</a>",https://www.dkfa.de/en/online-registration/,"<a href=""https://www.dkfa.de/en/online-registration/"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6279/,,,,
1505,56,1,Ludwig Maximilian University of Munich,"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>",PhD / Doctorate,Munich,Atherosclerosis - Mechanisms and Networks of Novel Therapeutic Targets (CRC1123),1 (For Biology),English,,,,,None,Any time,15-Jul,31-Jan,6 semesters,https://www.en.graduatecenter.uni-muenchen.de/doctoral_programs/atherosclerosis.html,"<a href=""https://www.en.graduatecenter.uni-muenchen.de/doctoral_programs/atherosclerosis.html"" title=""Atherosclerosis - Mechanisms and Networks of Novel Therapeutic Targets (CRC1123)"" target=""_blank"">Go to course website</a>",https://www.sfb1123.med.uni-muenchen.de/graduate-program/application/index.html,"<a href=""https://www.sfb1123.med.uni-muenchen.de/graduate-program/application/index.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5631/,,,,
